Số hiệu chuyến bay,Khởi hành,Đến,Airbus,SkyBOSS_Business,SkyBOSS,Deluxe,Eco
VJ640,"22:50, 15/01/2025 (Giờ địa phương)","00:10, 16/01/2025 (Giờ địa phương)",,Hết chỗ,"2,990","1,290",740
VJ1654,"22:50, 15/01/2025 (Giờ địa phương)","00:10, 16/01/2025 (Giờ địa phương)",,Hết chỗ,"2,990","1,440",890
VJ638,"23:15, 15/01/2025 (Giờ địa phương)","00:30, 16/01/2025 (Giờ địa phương)",,Hết chỗ,"2,990","2,270","1,720"
VJ636,"03:30, 16/01/2025 (Giờ địa phương)","04:50, 16/01/2025 (Giờ địa phương)",,Hết chỗ,"2,990","1,290",740
VJ642,06:05 16 tháng 1,07:25 16 tháng 1,,Hết chỗ,Hết chỗ,Hết chỗ,Hết chỗ
VJ622,07:25 16 tháng 1,08:45 16 tháng 1,,Hết chỗ,Hết chỗ,Hết chỗ,Hết chỗ
VJ1626,"10:45, 16/01/2025 (Giờ địa phương)","12:05, 16/01/2025 (Giờ địa phương)",,Hết chỗ,"2,990","2,230","1,680"
VJ624,"12:35, 16/01/2025 (Giờ địa phương)","13:50, 16/01/2025 (Giờ địa phương)",,Hết chỗ,"2,990","1,670","1,120"
VJ1630,14:35 16 tháng 1,15:50 16 tháng 1,,Hết chỗ,Hết chỗ,Hết chỗ,Hết chỗ
VJ1632,"16:35, 16/01/2025 (Giờ địa phương)","17:55, 16/01/2025 (Giờ địa phương)",,Hết chỗ,"2,990","1,550","1,000"
VJ1634,"19:05, 16/01/2025 (Giờ địa phương)","20:25, 16/01/2025 (Giờ địa phương)",,Hết chỗ,"2,990","2,270","1,720"
VJ640,"21:00, 16/01/2025 (Giờ địa phương)","22:20, 16/01/2025 (Giờ địa phương)",,Hết chỗ,"2,990","1,440",890
VJ644,"21:35, 16/01/2025 (Giờ địa phương)","22:55, 16/01/2025 (Giờ địa phương)",,Hết chỗ,"2,990","1,440",890
VJ638,"22:15, 16/01/2025 (Giờ địa phương)","23:35, 16/01/2025 (Giờ địa phương)",,Hết chỗ,"2,990","1,440",890
VJ636,"22:50, 16/01/2025 (Giờ địa phương)","00:10, 17/01/2025 (Giờ địa phương)",,Hết chỗ,"2,990","1,290",740
VJ620,"05:15, 17/01/2025 (Giờ địa phương)","06:35, 17/01/2025 (Giờ địa phương)",,Hết chỗ,"2,990","1,440",890
VJ642,"06:05, 17/01/2025 (Giờ địa phương)","07:25, 17/01/2025 (Giờ địa phương)",,Hết chỗ,"2,990","1,440",890
VJ622,"07:25, 17/01/2025 (Giờ địa phương)","08:45, 17/01/2025 (Giờ địa phương)",,Hết chỗ,"2,990","1,550","1,000"
VJ1626,"10:45, 17/01/2025 (Giờ địa phương)","12:05, 17/01/2025 (Giờ địa phương)",,Hết chỗ,"2,990","1,670","1,120"
VJ624,"12:35, 17/01/2025 (Giờ địa phương)","13:50, 17/01/2025 (Giờ địa phương)",,Hết chỗ,"2,990","1,800","1,250"
VJ1630,"14:35, 17/01/2025 (Giờ địa phương)","15:50, 17/01/2025 (Giờ địa phương)",,Hết chỗ,"2,990","1,670","1,120"
VJ1632,"16:35, 17/01/2025 (Giờ địa phương)","17:55, 17/01/2025 (Giờ địa phương)",,Hết chỗ,"2,990","1,670","1,120"
VJ1634,"19:05, 17/01/2025 (Giờ địa phương)","20:25, 17/01/2025 (Giờ địa phương)",,Hết chỗ,"2,990","1,670","1,120"
VJ640,"21:00, 17/01/2025 (Giờ địa phương)","22:20, 17/01/2025 (Giờ địa phương)",,Hết chỗ,"2,990","1,550","1,000"
VJ644,"21:35, 17/01/2025 (Giờ địa phương)","22:55, 17/01/2025 (Giờ địa phương)",,Hết chỗ,"2,990","1,440",890
VJ638,"22:15, 17/01/2025 (Giờ địa phương)","23:35, 17/01/2025 (Giờ địa phương)",,Hết chỗ,"2,990","1,440",890
VJ636,"22:50, 17/01/2025 (Giờ địa phương)","00:10, 18/01/2025 (Giờ địa phương)",,Hết chỗ,"2,990","1,440",890
VJ620,"05:15, 18/01/2025 (Giờ địa phương)","06:35, 18/01/2025 (Giờ địa phương)",,Hết chỗ,"2,990","1,550","1,000"
VJ642,"06:05, 18/01/2025 (Giờ địa phương)","07:25, 18/01/2025 (Giờ địa phương)",,Hết chỗ,"2,990","1,670","1,120"
VJ622,"07:25, 18/01/2025 (Giờ địa phương)","08:45, 18/01/2025 (Giờ địa phương)",,Hết chỗ,"2,990","1,800","1,250"
VJ1658,"10:00, 18/01/2025 (Giờ địa phương)","11:20, 18/01/2025 (Giờ địa phương)",,Hết chỗ,"2,990","1,670","1,120"
VJ1626,"10:45, 18/01/2025 (Giờ địa phương)","12:05, 18/01/2025 (Giờ địa phương)",,Hết chỗ,"2,990","1,670","1,120"
VJ624,"12:35, 18/01/2025 (Giờ địa phương)","13:50, 18/01/2025 (Giờ địa phương)",,Hết chỗ,"2,990","1,800","1,250"
